tmc_code,measurement_tstamp,speed,average_speed,reference_speed,travel_time_minutes,confidence_score,cvalue
110-04614,6/1/13 17:30,61.33,58,64,0.16,30,100
110+04303,6/1/13 17:30,51.6,59,60,0.1,30,98.33
110+05755,6/1/13 17:30,27.53,20,34,0.48,30,100
110-05756,6/1/13 17:30,35,35,38,0.77,29.33,93.33
110N04645,6/1/13 17:30,61.47,57,62,0.6,30,99.47
110N04161,6/1/13 17:30,43.73,46,47,0.03,27.33,73.33
110P04161,6/1/13 17:30,39.8,40,42,0.03,30,100
110+04131,6/1/13 17:30,44.8,38,47,0.01,30,99.07
110P04131,6/1/13 17:30,44.73,41,47,0.58,30,100
110N04131,6/1/13 17:30,44.27,48,52,0.55,29.33,93.33
110-10237,6/1/13 17:30,28.07,29,32,0.13,26,60
110P04645,6/1/13 17:30,66.2,60,61,0.73,30,100
110+05757,6/1/13 17:30,34.93,36,38,0.76,30,88.27
110-05754,6/1/13 17:30,33.87,31,36,0.39,30,100
110+04614,6/1/13 17:30,22.73,58,62,0.38,30,98.73
110+10238,6/1/13 17:30,30.47,30,32,0.12,24.67,46.67
110+04303,6/1/13 17:45,57.93,59,60,0.09,21.33,13.33
110N04131,6/1/13 17:45,48.6,48,52,0.5,30,100
110+10238,6/1/13 17:45,30.67,30,32,0.12,26.67,66.67
110+04614,6/1/13 17:45,31.07,58,62,0.28,30,73.2
110-04614,6/1/13 17:45,59.93,58,64,0.17,30,100
110+05755,6/1/13 17:45,28.07,20,34,0.47,30,100
110P04161,6/1/13 17:45,41.27,40,42,0.03,28,80
110N04161,6/1/13 17:45,46.73,46,47,0.03,30,100
110P04645,6/1/13 17:45,63.53,60,61,0.76,30,100
110-05756,6/1/13 17:45,35,35,38,0.77,23.33,33.33
110-10237,6/1/13 17:45,27.53,29,32,0.13,27.33,73.33
110+04131,6/1/13 17:45,45.47,38,47,0.01,30,86.13
110P04131,6/1/13 17:45,44.07,41,47,0.59,30,83.53
110-05754,6/1/13 17:45,31.2,31,36,0.42,30,100
110+05757,6/1/13 17:45,38.8,36,38,0.69,30,100
110N04645,6/1/13 17:45,64.07,57,62,0.57,30,92.2
110+10238,6/1/13 18:00,31,31,32,0.12,20,0
110+05757,6/1/13 18:00,37,37,38,0.72,30,100
110-05754,6/1/13 18:00,31.6,31,36,0.42,30,100
110+04303,6/1/13 18:00,57.07,57,60,0.09,20.67,6.67
110N04645,6/1/13 18:00,65.47,55,62,0.56,30,92
110-10237,6/1/13 18:00,27,27,32,0.13,20,0
110+04614,6/1/13 18:00,63.13,59,62,0.14,30,100
110+04131,6/1/13 18:00,47.07,35,47,0.01,30,85.13
110-04614,6/1/13 18:00,61.27,59,64,0.16,30,100
110+05755,6/1/13 18:00,19,21,34,0.7,30,100
110P04131,6/1/13 18:00,45.2,39,47,0.57,30,82.4
110P04161,6/1/13 18:00,40,40,42,0.03,28,80
110-05756,6/1/13 18:00,31.93,35,38,0.84,30,100
110P04645,6/1/13 18:00,62.67,59,61,0.77,30,100
110N04161,6/1/13 18:00,43.07,45,47,0.03,30,100
110N04131,6/1/13 18:00,47.8,47,52,0.51,28.67,86.67
110+04614,6/1/13 18:15,65.47,59,62,0.13,30,100
110+04303,6/1/13 18:15,57.33,57,60,0.09,30,100
110-04614,6/1/13 18:15,60.87,59,64,0.16,30,100
110P04131,6/1/13 18:15,40.6,39,47,0.64,30,100
110N04645,6/1/13 18:15,61.93,55,62,0.59,30,96.87
110+10238,6/1/13 18:15,31,31,32,0.12,20,0
110-05754,6/1/13 18:15,34.33,31,36,0.38,30,100
110+05757,6/1/13 18:15,36.73,37,38,0.73,26.67,66.67
110-10237,6/1/13 18:15,27,27,32,0.13,20,0
110N04161,6/1/13 18:15,43.87,45,47,0.03,30,100
110-05756,6/1/13 18:15,35,35,38,0.77,24,40
110P04645,6/1/13 18:15,66.67,59,61,0.72,30,90.47
110+04131,6/1/13 18:15,38.8,35,47,0.01,30,92.47
110P04161,6/1/13 18:15,40,40,42,0.03,27.33,73.33
110+05755,6/1/13 18:15,25.87,21,34,0.51,30,84.47
110N04131,6/1/13 18:15,49.4,47,52,0.49,30,100
110-10237,6/1/13 18:30,27.6,27,32,0.13,22,13.33
110+04131,6/1/13 18:30,47.13,35,47,0.01,30,90.53
110+05755,6/1/13 18:30,21.4,21,34,0.62,30,100
110P04131,6/1/13 18:30,45.47,39,47,0.57,30,100
110P04161,6/1/13 18:30,39.47,40,42,0.03,30,100
110+04614,6/1/13 18:30,63.4,59,62,0.14,30,100
110+05757,6/1/13 18:30,35.93,37,38,0.74,30,100
110-04614,6/1/13 18:30,59.8,59,64,0.17,30,100
110+10238,6/1/13 18:30,31,31,32,0.12,20,0
110N04161,6/1/13 18:30,44.47,45,47,0.03,28,80
110N04131,6/1/13 18:30,54.2,47,52,0.45,30,73.73
110N04645,6/1/13 18:30,60.47,55,62,0.61,30,97.87
110-05756,6/1/13 18:30,35.33,35,38,0.76,23.33,33.33
110P04645,6/1/13 18:30,63.53,59,61,0.76,30,100
110+04303,6/1/13 18:30,50.07,57,60,0.1,30,68.4
