tmc_code,measurement_tstamp,speed,average_speed,reference_speed,travel_time_minutes,confidence_score,cvalue
110-10237,6/26/13 22:45,32,32,32,0.11,10,0
110+05755,6/26/13 22:45,29.93,34,34,0.44,30,88.87
110-05756,6/26/13 22:45,38,38,38,0.71,10,0
110+04303,6/26/13 22:45,60,60,60,0.09,10,0
110-04614,6/26/13 22:45,66.6,64,64,0.15,30,93.67
110-05754,6/26/13 22:45,34.47,36,36,0.38,30,92.8
110P04161,6/26/13 22:45,42,42,42,0.03,10,0
110-05754,6/26/13 23:00,35.67,36,36,0.37,30,98.73
110+04303,6/26/13 23:00,60,60,60,0.09,10,0
110-05756,6/26/13 23:00,37.6,38,38,0.72,14,13.33
110+04131,6/26/13 23:00,42,47,47,0.01,23.33,33.8
110+04614,6/26/13 23:00,59.67,62,62,0.14,30,95.47
110N04645,6/26/13 23:00,61.4,62,62,0.6,30,98.07
110N04131,6/26/13 23:00,49.67,52,52,0.49,28.67,76.07
110-10237,6/26/13 23:00,32,32,32,0.11,10,0
110+10238,6/26/13 23:00,32,32,32,0.11,10,0
110-04614,6/26/13 23:00,63.2,64,64,0.16,30,89.07
110+05757,6/26/13 23:00,38,38,38,0.7,10,0
110P04645,6/26/13 23:00,59.93,61,61,0.8,20.67,45.4
110P04161,6/26/13 23:00,42,42,42,0.03,10,0
110N04161,6/26/13 23:00,42.33,47,47,0.03,23.33,60.13
110P04131,6/26/13 23:00,42.53,47,47,0.61,24.67,47.07
110+05755,6/26/13 23:00,31.53,34,34,0.42,18,37.8
110-04614,6/26/13 23:15,66.13,64,64,0.15,30,85.8
110-10237,6/26/13 23:15,32,32,32,0.11,10,0
110+10238,6/26/13 23:15,32,32,32,0.11,10,0
110N04131,6/26/13 23:15,48.47,52,52,0.5,27.33,61.47
110P04161,6/26/13 23:15,42,42,42,0.03,10,0
110+04303,6/26/13 23:15,60,60,60,0.09,10,0
110+05755,6/26/13 23:15,31.73,34,34,0.42,16.67,28.73
110+05757,6/26/13 23:15,38,38,38,0.7,10,0
110P04131,6/26/13 23:15,47.93,47,47,0.54,30,84.4
110-05754,6/26/13 23:15,34.8,36,36,0.38,30,92.6
110-05756,6/26/13 23:15,36.27,38,38,0.74,30,99.13
110P04645,6/26/13 23:15,63.27,61,61,0.76,30,80.33
110N04161,6/26/13 23:15,47,47,47,0.03,10,0
110N04645,6/26/13 23:15,61.8,62,62,0.59,30,96.8
110+04614,6/26/13 23:15,60.4,62,62,0.14,30,99.2
110+04131,6/26/13 23:15,49.6,47,47,0.01,27.33,77.93
110-04614,6/26/13 23:30,67.27,64,64,0.15,30,86.27
110P04645,6/26/13 23:30,63.27,61,61,0.76,30,88.33
110+04614,6/26/13 23:30,59.8,62,62,0.14,30,94.6
110N04161,6/26/13 23:30,47,47,47,0.03,10,0
110+04131,6/26/13 23:30,48.47,47,47,0.01,30,98
110N04645,6/26/13 23:30,61,62,62,0.6,30,100
110-05754,6/26/13 23:30,35.2,36,36,0.38,23.33,65.4
110N04131,6/26/13 23:30,52.27,52,52,0.47,30,93.6
110+05757,6/26/13 23:30,38,38,38,0.7,10,0
110+10238,6/26/13 23:30,32,32,32,0.11,10,0
110P04131,6/26/13 23:30,47.33,47,47,0.55,30,94.2
110-05756,6/26/13 23:30,40.4,38,38,0.67,30,78
110-10237,6/26/13 23:30,32,32,32,0.11,10,0
110+04303,6/26/13 23:30,60,60,60,0.09,10,0
110P04161,6/26/13 23:30,40.8,42,42,0.03,18,40
110+05755,6/26/13 23:30,29.4,34,34,0.45,28.67,92.13
110N04161,6/26/13 23:45,47,47,47,0.03,10,0
110-05756,6/26/13 23:45,35.8,38,38,0.75,30,89.2
110+04614,6/26/13 23:45,60.4,62,62,0.14,30,99.6
110P04645,6/26/13 23:45,62.13,61,61,0.77,22,59.47
110N04131,6/26/13 23:45,50.73,52,52,0.48,30,91.33
110+04131,6/26/13 23:45,47.73,47,47,0.01,30,99.27
110+10238,6/26/13 23:45,32,32,32,0.11,10,0
110-05754,6/26/13 23:45,36.13,36,36,0.37,30,98.47
110+05757,6/26/13 23:45,38,38,38,0.7,10,0
110N04645,6/26/13 23:45,62.8,62,62,0.58,28.67,90.67
110-10237,6/26/13 23:45,32,32,32,0.11,10,0
110-04614,6/26/13 23:45,65.67,64,64,0.15,30,86.6
110P04131,6/26/13 23:45,45.6,47,47,0.57,28.67,84.53
110+04303,6/26/13 23:45,60,60,60,0.09,10,0
110+05755,6/26/13 23:45,31.47,34,34,0.42,30,88.87
110P04161,6/26/13 23:45,40.2,42,42,0.03,22,60
110+04303,6/27/13 12:00,57.13,56,60,0.09,30,100
110-05754,6/27/13 12:00,35.13,31,36,0.38,30,100
110+05757,6/27/13 12:00,34.67,37,38,0.77,30,100
110+05755,6/27/13 12:00,23.27,27,34,0.57,30,82.13
110-05756,6/27/13 12:00,36.67,37,38,0.73,30,100
110P04161,6/27/13 12:00,38.67,39,42,0.03,23.33,33.33
110P04645,6/27/13 12:00,64.4,60,61,0.75,30,100
110N04161,6/27/13 12:00,43.53,46,47,0.03,30,94.67
110-04614,6/27/13 12:00,63.07,57,64,0.16,30,100
110N04131,6/27/13 12:00,53.67,47,52,0.45,30,72
110+04131,6/27/13 12:00,46.4,33,47,0.01,30,100
110N04645,6/27/13 12:00,61.8,57,62,0.59,30,99.47
110+10238,6/27/13 12:00,28.67,28,32,0.12,23.33,33.33
110P04131,6/27/13 12:00,44.8,36,47,0.58,30,100
110+04614,6/27/13 12:00,59,61,62,0.15,30,100
110-10237,6/27/13 12:00,30,31,32,0.12,23.33,26.67
110+04303,6/27/13 12:15,56.2,56,60,0.09,30,100
110-04614,6/27/13 12:15,63.73,57,64,0.16,30,100
110+04614,6/27/13 12:15,61.87,61,62,0.14,30,100
110-05756,6/27/13 12:15,35.67,37,38,0.76,30,100
110N04161,6/27/13 12:15,47.4,46,47,0.03,30,79.53
110+10238,6/27/13 12:15,29.2,28,32,0.12,26,60
110+05757,6/27/13 12:15,37.67,37,38,0.71,30,100
110-10237,6/27/13 12:15,28.8,31,32,0.12,27.33,73.33
110N04645,6/27/13 12:15,62.8,57,62,0.58,30,95
110+04131,6/27/13 12:15,46.53,33,47,0.01,30,98.27
110-05754,6/27/13 12:15,37.53,31,36,0.35,30,72.93
110+05755,6/27/13 12:15,29.13,27,34,0.45,30,100
110P04645,6/27/13 12:15,66.4,60,61,0.72,30,100
110P04161,6/27/13 12:15,39.53,39,42,0.03,30,92.07
110N04131,6/27/13 12:15,48.53,47,52,0.5,30,100
110P04131,6/27/13 12:15,45.67,36,47,0.57,30,100
110+05757,6/27/13 12:30,31.4,37,38,0.85,30,63.2
110+10238,6/27/13 12:30,29.2,28,32,0.12,26,60
110-05756,6/27/13 12:30,35.87,37,38,0.75,30,100
110P04645,6/27/13 12:30,65.4,60,61,0.73,30,100
110N04161,6/27/13 12:30,48.47,46,47,0.03,30,97.73
110+04131,6/27/13 12:30,44.8,33,47,0.01,30,100
110+04303,6/27/13 12:30,55.07,56,60,0.09,27.33,73.33
110+05755,6/27/13 12:30,29.27,27,34,0.45,30,90.27
110P04161,6/27/13 12:30,43.67,39,42,0.03,30,75.27
110N04645,6/27/13 12:30,61.27,57,62,0.6,30,97.6
110P04131,6/27/13 12:30,44.07,36,47,0.59,30,100
110-04614,6/27/13 12:30,63.2,57,64,0.16,30,100
110+04614,6/27/13 12:30,60.47,61,62,0.14,30,100
110N04131,6/27/13 12:30,47.6,47,52,0.51,30,100
110-05754,6/27/13 12:30,37.4,31,36,0.35,30,73.6
110-10237,6/27/13 12:30,25.4,31,32,0.14,30,100
110+04303,6/27/13 12:45,55.33,56,60,0.09,23.33,33.33
110-05754,6/27/13 12:45,37.73,31,36,0.35,30,81.07
110P04645,6/27/13 12:45,64.07,60,61,0.75,30,100
110P04131,6/27/13 12:45,45.13,36,47,0.57,30,100
110N04645,6/27/13 12:45,66.13,57,62,0.55,30,73.13
110-10237,6/27/13 12:45,29,31,32,0.12,23.33,33.33
110N04131,6/27/13 12:45,48.07,47,52,0.51,30,100
110-05756,6/27/13 12:45,37.07,37,38,0.73,30,100
110N04161,6/27/13 12:45,50.6,46,47,0.03,30,97.67
110+10238,6/27/13 12:45,28,28,32,0.13,20,0
110+05757,6/27/13 12:45,33.27,37,38,0.8,30,81
110P04161,6/27/13 12:45,43,39,42,0.03,30,88
110-04614,6/27/13 12:45,64.6,57,64,0.15,30,94.47
110+04131,6/27/13 12:45,48.93,33,47,0.01,30,83.47
110+04614,6/27/13 12:45,61.4,61,62,0.14,30,100
110+05755,6/27/13 12:45,27.33,27,34,0.48,30,99.07
110N04131,6/27/13 13:00,49.47,47,52,0.49,30,100
110+04303,6/27/13 13:00,56.6,55,60,0.09,30,100
110+10238,6/27/13 13:00,29.93,27,32,0.12,27.33,73.33
110-05756,6/27/13 13:00,36.73,36,38,0.73,30,100
110+04614,6/27/13 13:00,64.4,61,62,0.13,30,100
110P04161,6/27/13 13:00,39.67,39,42,0.03,30,100
110+05755,6/27/13 13:00,24.87,27,34,0.53,30,90.4
110+04131,6/27/13 13:00,48,33,47,0.01,30,99.6
110-05754,6/27/13 13:00,28.27,31,36,0.47,30,75.67
110P04131,6/27/13 13:00,46.13,35,47,0.56,30,100
110N04645,6/27/13 13:00,65.67,58,62,0.56,30,82.73
110-04614,6/27/13 13:00,61.8,55,64,0.16,30,100
110N04161,6/27/13 13:00,51.73,46,47,0.03,30,98.4
110+05757,6/27/13 13:00,37.47,37,38,0.71,30,100
110P04645,6/27/13 13:00,63.13,60,61,0.76,30,100
110-10237,6/27/13 13:00,30.53,30,32,0.12,25.33,53.33
110+10238,6/27/13 13:15,29.2,27,32,0.12,27.33,73.33
110+04614,6/27/13 13:15,59.6,61,62,0.14,30,100
110+04131,6/27/13 13:15,44.53,33,47,0.01,30,100
110-05754,6/27/13 13:15,34,31,36,0.39,30,100
110+04303,6/27/13 13:15,57,55,60,0.09,30,100
110-10237,6/27/13 13:15,30.4,30,32,0.12,24,40
110-05756,6/27/13 13:15,36,36,38,0.75,30,100
110-04614,6/27/13 13:15,63.73,55,64,0.16,30,96.47
110P04645,6/27/13 13:15,63.93,60,61,0.75,30,100
110P04131,6/27/13 13:15,43.67,35,47,0.59,30,100
110N04645,6/27/13 13:15,64.13,58,62,0.57,30,99.4
110N04131,6/27/13 13:15,50,47,52,0.49,30,100
110N04161,6/27/13 13:15,47.4,46,47,0.03,30,92.67
110+05755,6/27/13 13:15,25.6,27,34,0.52,30,100
110P04161,6/27/13 13:15,40.93,39,42,0.03,30,100
110+05757,6/27/13 13:15,37,37,38,0.72,28,80
110-05754,6/27/13 13:30,35.8,31,36,0.37,30,97.2
110-04614,6/27/13 13:30,64.07,55,64,0.16,30,100
110P04131,6/27/13 13:30,44.13,35,47,0.59,30,100
110+04303,6/27/13 13:30,56.73,55,60,0.09,30,100
110+04131,6/27/13 13:30,43.87,33,47,0.01,30,100
110N04161,6/27/13 13:30,47.73,46,47,0.03,30,98.4
110-05756,6/27/13 13:30,35.27,36,38,0.76,30,100
110P04645,6/27/13 13:30,63.6,60,61,0.76,30,100
110+10238,6/27/13 13:30,29.93,27,32,0.12,26.67,66.67
110+05757,6/27/13 13:30,37,37,38,0.72,20,0
110N04645,6/27/13 13:30,63.6,58,62,0.58,30,98.33
110+04614,6/27/13 13:30,60.33,61,62,0.14,30,100
110P04161,6/27/13 13:30,39.07,39,42,0.03,30,100
110+05755,6/27/13 13:30,30.73,27,34,0.43,30,100
110-10237,6/27/13 13:30,30,30,32,0.12,20,0
110N04131,6/27/13 13:30,50.73,47,52,0.48,30,100
110N04161,6/27/13 13:45,38.33,46,47,0.04,30,72
110+04614,6/27/13 13:45,63.13,61,62,0.14,30,100
110-05754,6/27/13 13:45,34.4,31,36,0.38,30,100
110P04645,6/27/13 13:45,64.07,60,61,0.75,30,100
110P04161,6/27/13 13:45,38.13,39,42,0.03,30,100
110+05755,6/27/13 13:45,36.07,27,34,0.37,30,83.47
110+10238,6/27/13 13:45,27,27,32,0.13,20,0
110N04645,6/27/13 13:45,63,58,62,0.58,30,98.4
110-04614,6/27/13 13:45,64.93,55,64,0.15,30,100
110-10237,6/27/13 13:45,30,30,32,0.12,20,0
110+05757,6/27/13 13:45,35.87,37,38,0.74,27.33,73.33
110N04131,6/27/13 13:45,48.47,47,52,0.5,30,100
110+04131,6/27/13 13:45,48,33,47,0.01,30,100
110P04131,6/27/13 13:45,46.67,35,47,0.55,30,100
110-05756,6/27/13 13:45,37.73,36,38,0.71,30,100
110+04303,6/27/13 13:45,58.33,55,60,0.09,30,100
110+04614,6/27/13 14:00,63.53,59,62,0.14,30,100
110+04303,6/27/13 14:00,53.47,54,60,0.1,30,100
110-05756,6/27/13 14:00,37.67,36,38,0.72,30,85.4
110+10238,6/27/13 14:00,29,29,32,0.12,20,0
110P04645,6/27/13 14:00,64,59,61,0.75,30,100
110-05754,6/27/13 14:00,34.53,31,36,0.38,30,100
110N04161,6/27/13 14:00,44.2,45,47,0.03,30,100
110+05757,6/27/13 14:00,36.73,38,38,0.73,30,100
110N04131,6/27/13 14:00,49.07,46,52,0.5,30,100
110-04614,6/27/13 14:00,64.53,54,64,0.15,30,100
110-10237,6/27/13 14:00,28.8,30,32,0.12,26,53.33
110P04131,6/27/13 14:00,45.47,35,47,0.57,30,100
110+04131,6/27/13 14:00,45,32,47,0.01,30,99.4
110P04161,6/27/13 14:00,40.27,40,42,0.03,30,100
110N04645,6/27/13 14:00,62.2,57,62,0.59,30,100
110+05755,6/27/13 14:00,29.73,27,34,0.44,30,100
110N04645,6/27/13 14:15,64.6,57,62,0.57,30,91.87
110+05757,6/27/13 14:15,37.07,38,38,0.72,30,100
110-05754,6/27/13 14:15,34.93,31,36,0.38,30,97.53
110+04131,6/27/13 14:15,28.6,32,47,0.02,30,100
110+10238,6/27/13 14:15,29,29,32,0.12,20,0
110P04645,6/27/13 14:15,63.47,59,61,0.76,30,100
110+05755,6/27/13 14:15,28.27,27,34,0.47,30,100
110P04161,6/27/13 14:15,39.07,40,42,0.03,30,100
110P04131,6/27/13 14:15,33.2,35,47,0.78,30,100
110-04614,6/27/13 14:15,64.27,54,64,0.16,30,100
110+04614,6/27/13 14:15,54.33,59,62,0.16,30,100
110N04131,6/27/13 14:15,45.53,46,52,0.54,30,100
110+04303,6/27/13 14:15,51.2,54,60,0.1,30,100
110-10237,6/27/13 14:15,28.4,30,32,0.13,28,80
110-05756,6/27/13 14:15,55.33,36,38,0.49,30,47.67
110N04161,6/27/13 14:15,45.67,45,47,0.03,26.67,66.67
110P04645,6/27/13 14:30,62.8,59,61,0.76,30,100
110-05756,6/27/13 14:30,35.6,36,38,0.76,30,100
110+04614,6/27/13 14:30,25.07,59,62,0.34,30,100
110-04614,6/27/13 14:30,62.07,54,64,0.16,30,100
110+05755,6/27/13 14:30,31.6,27,34,0.42,30,100
110P04161,6/27/13 14:30,37.93,40,42,0.03,29.33,93.33
110+04303,6/27/13 14:30,54.53,54,60,0.09,30,100
110N04131,6/27/13 14:30,47.53,46,52,0.51,30,100
110P04131,6/27/13 14:30,33.93,35,47,0.76,30,100
110+04131,6/27/13 14:30,33.73,32,47,0.01,30,100
110+05757,6/27/13 14:30,37,38,38,0.72,30,100
110-05754,6/27/13 14:30,33.87,31,36,0.39,30,93.27
110N04161,6/27/13 14:30,43.93,45,47,0.03,30,100
110+10238,6/27/13 14:30,29,29,32,0.12,20,0
110N04645,6/27/13 14:30,63.87,57,62,0.57,30,96.8
110-10237,6/27/13 14:30,30,30,32,0.12,20,0
110P04161,6/27/13 14:45,39.6,40,42,0.03,30,100
110+04614,6/27/13 14:45,21.07,59,62,0.41,30,100
110+05755,6/27/13 14:45,25.73,27,34,0.51,30,100
110+10238,6/27/13 14:45,30.6,29,32,0.12,28,66.67
110N04645,6/27/13 14:45,63.47,57,62,0.58,30,98.2
110+04303,6/27/13 14:45,45.13,54,60,0.11,30,100
110+05757,6/27/13 14:45,36.8,38,38,0.72,26.67,66.67
110-05754,6/27/13 14:45,33.73,31,36,0.39,30,100
110-05756,6/27/13 14:45,36.6,36,38,0.74,26,60
110N04161,6/27/13 14:45,37.4,45,47,0.04,30,91
110N04131,6/27/13 14:45,43.73,46,52,0.56,30,100
110P04645,6/27/13 14:45,63.13,59,61,0.76,30,100
110-10237,6/27/13 14:45,20,30,32,0.18,28,33.87
110+04131,6/27/13 14:45,23.73,32,47,0.02,30,100
110P04131,6/27/13 14:45,28.13,35,47,0.92,30,100
110-04614,6/27/13 14:45,56.27,54,64,0.18,30,100
110P04131,6/27/13 15:00,20.13,34,47,1.29,30,67.53
110+04303,6/27/13 15:00,47.13,51,60,0.11,30,94.6
110N04131,6/27/13 15:00,43.53,42,52,0.56,30,100
110P04645,6/27/13 15:00,60.33,55,61,0.8,30,100
110-10237,6/27/13 15:00,24.6,30,32,0.15,27.33,61
110-05756,6/27/13 15:00,37,37,38,0.73,22.67,26.67
110N04161,6/27/13 15:00,41.07,45,47,0.03,30,100
110+05755,6/27/13 15:00,27.93,28,34,0.47,30,67.13
110+04131,6/27/13 15:00,17.93,33,47,0.03,30,71.87
110P04161,6/27/13 15:00,40.33,39,42,0.03,30,100
110+05757,6/27/13 15:00,34.93,36,38,0.76,30,100
110-05754,6/27/13 15:00,32.33,30,36,0.41,30,100
110-04614,6/27/13 15:00,53.6,49,64,0.19,30,100
110N04645,6/27/13 15:00,61.27,53,62,0.6,30,94.4
110+10238,6/27/13 15:00,29.27,29,32,0.12,21.33,13.33
110+04614,6/27/13 15:00,10.8,40,62,0.8,30,100
110+04131,6/27/13 15:15,15.13,33,47,0.03,30,66.67
110-05756,6/27/13 15:15,37,37,38,0.73,30,100
110N04131,6/27/13 15:15,25.33,42,52,0.96,30,38.8
110P04131,6/27/13 15:15,15.53,34,47,1.67,30,82.07
110N04161,6/27/13 15:15,39.73,45,47,0.04,30,78.33
110-04614,6/27/13 15:15,58.53,49,64,0.17,30,95.73
110+04614,6/27/13 15:15,15.13,40,62,0.57,30,100
110+10238,6/27/13 15:15,29,29,32,0.12,20,0
110-10237,6/27/13 15:15,30,30,32,0.12,20,0
110N04645,6/27/13 15:15,48.53,53,62,0.76,30,61.47
110+04303,6/27/13 15:15,43.13,51,60,0.12,30,88.4
110-05754,6/27/13 15:15,37.47,30,36,0.35,30,98.4
110+05757,6/27/13 15:15,35.87,36,38,0.74,24,40
110+05755,6/27/13 15:15,37.47,28,34,0.35,30,64.13
110P04161,6/27/13 15:15,38.93,39,42,0.03,30,100
110P04645,6/27/13 15:15,57.87,55,61,0.83,30,100
110P04161,6/27/13 15:30,47.4,39,42,0.03,30,64.8
110+04614,6/27/13 15:30,22.6,40,62,0.38,30,100
110+04131,6/27/13 15:30,12,33,47,0.04,30,58
110-05754,6/27/13 15:30,27.13,30,36,0.49,30,86.67
110+05757,6/27/13 15:30,36,36,38,0.74,29.33,93.33
110-10237,6/27/13 15:30,27.6,30,32,0.13,28,80
110N04645,6/27/13 15:30,20.73,53,62,1.77,30,16.67
110+04303,6/27/13 15:30,30.6,51,60,0.17,30,74.4
110N04161,6/27/13 15:30,42.67,45,47,0.03,30,100
110+10238,6/27/13 15:30,29,29,32,0.12,20,0
110P04645,6/27/13 15:30,54.33,55,61,0.88,30,100
110P04131,6/27/13 15:30,10.6,34,47,2.44,30,49.93
110-04614,6/27/13 15:30,62.33,49,64,0.16,30,58.8
110-05756,6/27/13 15:30,37,37,38,0.73,24.67,46.67
110N04131,6/27/13 15:30,11.07,42,52,2.2,30,27.33
110+05755,6/27/13 15:30,30.4,28,34,0.43,30,100
110-05754,6/27/13 15:45,27.73,30,36,0.48,30,100
110N04645,6/27/13 15:45,18.07,53,62,2.03,30,57.73
110-04614,6/27/13 15:45,60.33,49,64,0.17,30,77.27
110-10237,6/27/13 15:45,29,30,32,0.12,26.67,66.67
110P04131,6/27/13 15:45,7.07,34,47,3.66,30,57.73
110N04131,6/27/13 15:45,15.6,42,52,1.56,30,79.47
110+04303,6/27/13 15:45,13.47,51,60,0.38,30,34.8
110+04131,6/27/13 15:45,8.93,33,47,0.05,30,68.73
110N04161,6/27/13 15:45,37.6,45,47,0.04,30,86.73
110+05755,6/27/13 15:45,16.87,28,34,0.78,30,44.4
110P04161,6/27/13 15:45,39.8,39,42,0.03,30,100
110-05756,6/27/13 15:45,32.67,37,38,0.82,30,75.13
110P04645,6/27/13 15:45,55.4,55,61,0.87,30,100
110+10238,6/27/13 15:45,30.87,29,32,0.12,29.33,86.67
110+04614,6/27/13 15:45,17.4,40,62,0.5,30,100
110+05757,6/27/13 15:45,34.93,36,38,0.76,30,100
110-05754,6/27/13 16:00,35.53,29,36,0.37,30,100
110+04131,6/27/13 16:00,10.73,30,47,0.04,30,92.13
110+05757,6/27/13 16:00,33.07,35,38,0.81,30,100
110P04645,6/27/13 16:00,60.73,45,61,0.79,30,95.6
110+10238,6/27/13 16:00,29,29,32,0.12,20,0
110P04131,6/27/13 16:00,6.4,30,47,4.04,30,75.73
110-04614,6/27/13 16:00,57.53,37,64,0.17,30,72.4
110+05755,6/27/13 16:00,16.2,26,34,0.82,30,76.2
110P04161,6/27/13 16:00,39.67,39,42,0.03,30,100
110+04303,6/27/13 16:00,18.13,45,60,0.28,30,81.27
110-10237,6/27/13 16:00,10,29,32,0.36,30,33.47
110-05756,6/27/13 16:00,36.47,37,38,0.74,28.67,86.67
110N04131,6/27/13 16:00,29,37,52,0.84,30,98.73
110N04645,6/27/13 16:00,17.67,52,62,2.08,30,88.07
110+04614,6/27/13 16:00,14.4,23,62,0.6,30,90.87
110N04161,6/27/13 16:00,33.33,45,47,0.04,30,68.93
110+10238,6/27/13 16:15,32.6,29,32,0.11,26,60
110+05755,6/27/13 16:15,20.33,26,34,0.65,30,81.6
110P04161,6/27/13 16:15,38,39,42,0.03,30,100
110+04614,6/27/13 16:15,14.2,23,62,0.61,30,100
110N04131,6/27/13 16:15,15.13,37,52,1.61,30,88.4
110-10237,6/27/13 16:15,28.2,29,32,0.13,30,96.4
110+04303,6/27/13 16:15,14.73,45,60,0.35,30,89.27
110-04614,6/27/13 16:15,57.67,37,64,0.17,30,89.13
110P04131,6/27/13 16:15,12.6,30,47,2.05,30,98.4
110-05754,6/27/13 16:15,32.8,29,36,0.4,30,100
110+05757,6/27/13 16:15,37.93,35,38,0.7,30,100
110N04645,6/27/13 16:15,18.47,52,62,1.99,30,99
110+04131,6/27/13 16:15,16.87,30,47,0.03,30,100
110N04161,6/27/13 16:15,40.47,45,47,0.03,27.33,64.73
110-05756,6/27/13 16:15,37.2,37,38,0.72,30,100
110P04645,6/27/13 16:15,62.6,45,61,0.77,30,63.4
110N04645,6/27/13 16:30,18.33,52,62,2,30,83.07
110+05755,6/27/13 16:30,19.67,26,34,0.67,30,93
110N04131,6/27/13 16:30,9.33,37,52,2.61,30,49.67
110P04131,6/27/13 16:30,16.8,30,47,1.54,30,100
110+10238,6/27/13 16:30,32.2,29,32,0.11,25.33,53.33
110-05756,6/27/13 16:30,35.8,37,38,0.75,30,100
110-04614,6/27/13 16:30,54.4,37,64,0.18,30,75.2
110+04303,6/27/13 16:30,23.8,45,60,0.22,30,93.53
110P04645,6/27/13 16:30,60.73,45,61,0.79,30,94.27
110+04131,6/27/13 16:30,18,30,47,0.03,30,100
110-05754,6/27/13 16:30,25.73,29,36,0.51,30,100
110+04614,6/27/13 16:30,12.33,23,62,0.7,30,100
110+05757,6/27/13 16:30,35.13,35,38,0.76,30,100
110P04161,6/27/13 16:30,38.87,39,42,0.03,30,100
110N04161,6/27/13 16:30,25.73,45,47,0.05,30,61.73
110-10237,6/27/13 16:30,29.4,29,32,0.12,30,100
110+04614,6/27/13 16:45,14.07,23,62,0.61,30,100
110-10237,6/27/13 16:45,28.6,29,32,0.12,24,40
110+05757,6/27/13 16:45,32.8,35,38,0.81,30,100
110+04303,6/27/13 16:45,17.27,45,60,0.3,30,88.2
110N04645,6/27/13 16:45,17.2,52,62,2.13,30,96.93
110+10238,6/27/13 16:45,29,29,32,0.12,20,0
110N04131,6/27/13 16:45,11.6,37,52,2.1,30,86.73
110+04131,6/27/13 16:45,13.4,30,47,0.03,30,66.4
110P04131,6/27/13 16:45,10.8,30,47,2.4,30,77.8
110-04614,6/27/13 16:45,57.27,37,64,0.17,30,96.13
110+05755,6/27/13 16:45,19.53,26,34,0.68,30,100
110P04161,6/27/13 16:45,34.13,39,42,0.04,30,100
110-05754,6/27/13 16:45,31.07,29,36,0.43,30,100
110-05756,6/27/13 16:45,38.33,37,38,0.7,30,100
110P04645,6/27/13 16:45,61.2,45,61,0.78,30,92.8
110N04161,6/27/13 16:45,21.47,45,47,0.07,30,60.8
110+10238,6/27/13 17:00,28,28,32,0.13,20,0
110P04645,6/27/13 17:00,61.6,41,61,0.78,30,97.47
110+04131,6/27/13 17:00,12.13,23,47,0.04,30,80.87
110-10237,6/27/13 17:00,20.67,29,32,0.17,30,60.27
110+04303,6/27/13 17:00,24.2,36,60,0.21,28.67,83.33
110N04131,6/27/13 17:00,13.87,32,52,1.76,30,83.13
110N04645,6/27/13 17:00,17.53,50,62,2.09,30,96.93
110P04161,6/27/13 17:00,32.4,34,42,0.04,30,100
110+04614,6/27/13 17:00,8,18,62,1.08,30,78.33
110-04614,6/27/13 17:00,45.47,27,64,0.22,30,70.4
110+05755,6/27/13 17:00,15.27,18,34,0.87,30,94.4
110+05757,6/27/13 17:00,35.47,35,38,0.75,26,60
110N04161,6/27/13 17:00,34.07,43,47,0.04,30,90.87
110P04131,6/27/13 17:00,7.8,22,47,3.32,30,66.93
110-05756,6/27/13 17:00,36.47,37,38,0.74,30,100
110-05754,6/27/13 17:00,29.67,27,36,0.45,30,100
110-04614,6/27/13 17:15,33.07,27,64,0.3,30,100
110+04131,6/27/13 17:15,7.27,23,47,0.06,30,59.53
110P04645,6/27/13 17:15,57.27,41,61,0.84,30,98.6
110-05756,6/27/13 17:15,35,37,38,0.77,30,100
110N04161,6/27/13 17:15,44.07,43,47,0.03,30,96.33
110+05757,6/27/13 17:15,28.2,35,38,0.95,30,68
110-05754,6/27/13 17:15,29.13,27,36,0.45,30,100
110+10238,6/27/13 17:15,28,28,32,0.13,20,0
110+04303,6/27/13 17:15,18.27,36,60,0.28,30,93.8
110+04614,6/27/13 17:15,23.33,18,62,0.37,30,79.8
110N04645,6/27/13 17:15,20.67,50,62,1.77,30,94.6
110P04131,6/27/13 17:15,6.67,22,47,3.88,30,92.87
110N04131,6/27/13 17:15,21.67,32,52,1.12,30,90.67
110-10237,6/27/13 17:15,27.87,29,32,0.13,26,57.6
110+05755,6/27/13 17:15,21.13,18,34,0.62,30,88
110P04161,6/27/13 17:15,37.67,34,42,0.03,30,100
110-10237,6/27/13 17:30,24.67,29,32,0.14,28.67,86.67
110+04303,6/27/13 17:30,21.67,36,60,0.24,30,91.8
110+04131,6/27/13 17:30,13.8,23,47,0.03,30,100
110P04645,6/27/13 17:30,58.8,41,61,0.82,30,93.93
110-05756,6/27/13 17:30,33.8,37,38,0.8,30,86.8
110P04161,6/27/13 17:30,36.47,34,42,0.04,30,100
110+05755,6/27/13 17:30,18.73,18,34,0.7,30,94.07
110-04614,6/27/13 17:30,36.67,27,64,0.27,30,89.27
110N04161,6/27/13 17:30,29.27,43,47,0.05,30,75.27
110+05757,6/27/13 17:30,29.47,35,38,0.91,30,74
110P04131,6/27/13 17:30,13.67,22,47,1.89,30,100
110-05754,6/27/13 17:30,34.07,27,36,0.39,30,91.93
110+04614,6/27/13 17:30,19,18,62,0.45,30,100
110N04131,6/27/13 17:30,15.8,32,52,1.54,30,93.07
110N04645,6/27/13 17:30,21.33,50,62,1.72,30,88.87
110+10238,6/27/13 17:30,28,28,32,0.13,20,0
