"timekey","glare","glarepotential","traffic_timestamp","tmc_crossing","avg"
"394","f","TruePM","2013-10-03 17:30:00","Roosevelt","39.75"
"395","f","TruePM","2013-10-03 17:40:00","14th_HOV","44.25"
"395","f","TruePM","2013-10-03 17:40:00","14th_Main","27.625"
"395","f","TruePM","2013-10-03 17:40:00","Chain","30.6666666666667"
"395","f","TruePM","2013-10-03 17:40:00","Key","22.5"
"395","f","TruePM","2013-10-03 17:40:00","Memorial","36"
"395","f","TruePM","2013-10-03 17:40:00","Roosevelt","39.75"
"396","f","TruePM","2013-10-03 17:50:00","14th_HOV","44.25"
"396","f","TruePM","2013-10-03 17:50:00","14th_Main","27.625"
"396","f","TruePM","2013-10-03 17:50:00","Chain","30.6666666666667"
"396","f","TruePM","2013-10-03 17:50:00","Key","22.5"
"396","f","TruePM","2013-10-03 17:50:00","Memorial","36"
"396","f","TruePM","2013-10-03 17:50:00","Roosevelt","39.75"
"397","f","TruePM","2013-10-03 18:00:00","14th_HOV","43"
"397","f","TruePM","2013-10-03 18:00:00","14th_Main","27.5"
"397","f","TruePM","2013-10-03 18:00:00","Chain","28"
"397","f","TruePM","2013-10-03 18:00:00","Key","18"
"397","f","TruePM","2013-10-03 18:00:00","Memorial","35"
"397","f","TruePM","2013-10-03 18:00:00","Roosevelt","36.5"
"398","f","TruePM","2013-10-03 18:10:00","14th_HOV","43"
"398","f","TruePM","2013-10-03 18:10:00","14th_Main","27.5"
"398","f","TruePM","2013-10-03 18:10:00","Chain","28"
"398","f","TruePM","2013-10-03 18:10:00","Key","18"
"398","f","TruePM","2013-10-03 18:10:00","Memorial","35"
"398","f","TruePM","2013-10-03 18:10:00","Roosevelt","36.5"
"399","f","TruePM","2013-10-03 18:20:00","14th_HOV","43"
"399","f","TruePM","2013-10-03 18:20:00","14th_Main","27.5"
"399","f","TruePM","2013-10-03 18:20:00","Chain","28"
"399","f","TruePM","2013-10-03 18:20:00","Key","18"
"399","f","TruePM","2013-10-03 18:20:00","Memorial","35"
"399","f","TruePM","2013-10-03 18:20:00","Roosevelt","36.5"
"400","f","TruePM","2013-10-03 18:30:00","14th_HOV","43"
"400","f","TruePM","2013-10-03 18:30:00","14th_Main","27.5"
"400","f","TruePM","2013-10-03 18:30:00","Chain","28"
"400","f","TruePM","2013-10-03 18:30:00","Key","18"
"400","f","TruePM","2013-10-03 18:30:00","Memorial","35"
"400","f","TruePM","2013-10-03 18:30:00","Roosevelt","36.5"
"401","f","TruePM","2013-10-03 18:40:00","14th_HOV","43"
"401","f","TruePM","2013-10-03 18:40:00","14th_Main","27.5"
"401","f","TruePM","2013-10-03 18:40:00","Chain","28"
"401","f","TruePM","2013-10-03 18:40:00","Key","18"
"401","f","TruePM","2013-10-03 18:40:00","Memorial","35"
"401","f","TruePM","2013-10-03 18:40:00","Roosevelt","36.5"
"476","f","TrueAM","2013-10-04 07:10:00","14th_HOV","52.25"
"476","f","TrueAM","2013-10-04 07:10:00","14th_Main","41.75"
"476","f","TrueAM","2013-10-04 07:10:00","Chain","30.3333333333333"
"476","f","TrueAM","2013-10-04 07:10:00","Key","27.5"
"476","f","TrueAM","2013-10-04 07:10:00","Memorial","37"
"476","f","TrueAM","2013-10-04 07:10:00","Roosevelt","42.75"
"477","f","TrueAM","2013-10-04 07:20:00","14th_HOV","52.25"
"477","f","TrueAM","2013-10-04 07:20:00","14th_Main","41.75"
"477","f","TrueAM","2013-10-04 07:20:00","Chain","30.3333333333333"
"477","f","TrueAM","2013-10-04 07:20:00","Key","27.5"
"477","f","TrueAM","2013-10-04 07:20:00","Memorial","37"
"477","f","TrueAM","2013-10-04 07:20:00","Roosevelt","42.75"
"478","f","TrueAM","2013-10-04 07:30:00","14th_HOV","52.25"
"478","f","TrueAM","2013-10-04 07:30:00","14th_Main","41.75"
"478","f","TrueAM","2013-10-04 07:30:00","Chain","30.3333333333333"
"478","f","TrueAM","2013-10-04 07:30:00","Key","27.5"
"478","f","TrueAM","2013-10-04 07:30:00","Memorial","37"
"478","f","TrueAM","2013-10-04 07:30:00","Roosevelt","42.75"
"479","f","TrueAM","2013-10-04 07:40:00","14th_HOV","52.25"
"479","f","TrueAM","2013-10-04 07:40:00","14th_Main","41.75"
"479","f","TrueAM","2013-10-04 07:40:00","Chain","30.3333333333333"
"479","f","TrueAM","2013-10-04 07:40:00","Key","27.5"
"479","f","TrueAM","2013-10-04 07:40:00","Memorial","37"
"479","f","TrueAM","2013-10-04 07:40:00","Roosevelt","42.75"
"480","f","TrueAM","2013-10-04 07:50:00","14th_HOV","52.25"
"480","f","TrueAM","2013-10-04 07:50:00","14th_Main","41.75"
"480","f","TrueAM","2013-10-04 07:50:00","Chain","30.3333333333333"
"480","f","TrueAM","2013-10-04 07:50:00","Key","27.5"
"480","f","TrueAM","2013-10-04 07:50:00","Memorial","37"
"480","f","TrueAM","2013-10-04 07:50:00","Roosevelt","42.75"
"481","f","TrueAM","2013-10-04 08:00:00","14th_HOV","45.75"
"481","f","TrueAM","2013-10-04 08:00:00","14th_Main","36.625"
"481","f","TrueAM","2013-10-04 08:00:00","Chain","27"
"481","f","TrueAM","2013-10-04 08:00:00","Key","21.5"
"481","f","TrueAM","2013-10-04 08:00:00","Memorial","36.5"
"481","f","TrueAM","2013-10-04 08:00:00","Roosevelt","38"
"482","f","TrueAM","2013-10-04 08:10:00","14th_HOV","45.75"
"482","f","TrueAM","2013-10-04 08:10:00","14th_Main","36.625"
"482","f","TrueAM","2013-10-04 08:10:00","Chain","27"
"482","f","TrueAM","2013-10-04 08:10:00","Key","21.5"
"482","f","TrueAM","2013-10-04 08:10:00","Memorial","36.5"
"482","f","TrueAM","2013-10-04 08:10:00","Roosevelt","38"
"483","f","TrueAM","2013-10-04 08:20:00","14th_HOV","45.75"
"483","f","TrueAM","2013-10-04 08:20:00","14th_Main","36.625"
"483","f","TrueAM","2013-10-04 08:20:00","Chain","27"
"483","f","TrueAM","2013-10-04 08:20:00","Key","21.5"
"483","f","TrueAM","2013-10-04 08:20:00","Memorial","36.5"
"483","f","TrueAM","2013-10-04 08:20:00","Roosevelt","38"
"484","f","TrueAM","2013-10-04 08:30:00","14th_HOV","45.75"
"484","f","TrueAM","2013-10-04 08:30:00","14th_Main","36.625"
"484","f","TrueAM","2013-10-04 08:30:00","Chain","27"
"484","f","TrueAM","2013-10-04 08:30:00","Key","21.5"
"484","f","TrueAM","2013-10-04 08:30:00","Memorial","36.5"
"484","f","TrueAM","2013-10-04 08:30:00","Roosevelt","38"
"537","f","TruePM","2013-10-04 17:20:00","14th_HOV","45.5"
"537","f","TruePM","2013-10-04 17:20:00","14th_Main","27.75"
"537","f","TruePM","2013-10-04 17:20:00","Chain","30"
"537","f","TruePM","2013-10-04 17:20:00","Key","22.5"
"537","f","TruePM","2013-10-04 17:20:00","Memorial","35.5"
"537","f","TruePM","2013-10-04 17:20:00","Roosevelt","40.5"
"538","f","TruePM","2013-10-04 17:30:00","14th_HOV","45.5"
"538","f","TruePM","2013-10-04 17:30:00","14th_Main","27.75"
"538","f","TruePM","2013-10-04 17:30:00","Chain","30"
"538","f","TruePM","2013-10-04 17:30:00","Key","22.5"
"538","f","TruePM","2013-10-04 17:30:00","Memorial","35.5"
"538","f","TruePM","2013-10-04 17:30:00","Roosevelt","40.5"
"539","f","TruePM","2013-10-04 17:40:00","14th_HOV","45.5"
"539","f","TruePM","2013-10-04 17:40:00","14th_Main","27.75"
"539","f","TruePM","2013-10-04 17:40:00","Chain","30"
"539","f","TruePM","2013-10-04 17:40:00","Key","22.5"
"539","f","TruePM","2013-10-04 17:40:00","Memorial","35.5"
"539","f","TruePM","2013-10-04 17:40:00","Roosevelt","40.5"
"540","f","TruePM","2013-10-04 17:50:00","14th_HOV","45.5"
"540","f","TruePM","2013-10-04 17:50:00","14th_Main","27.75"
"540","f","TruePM","2013-10-04 17:50:00","Chain","30"
"540","f","TruePM","2013-10-04 17:50:00","Key","22.5"
"540","f","TruePM","2013-10-04 17:50:00","Memorial","35.5"
"540","f","TruePM","2013-10-04 17:50:00","Roosevelt","40.5"
"541","f","TruePM","2013-10-04 18:00:00","14th_HOV","45.5"
"541","f","TruePM","2013-10-04 18:00:00","14th_Main","29.125"
"541","f","TruePM","2013-10-04 18:00:00","Chain","28"
"541","f","TruePM","2013-10-04 18:00:00","Key","20.5"
"541","f","TruePM","2013-10-04 18:00:00","Memorial","35"
"541","f","TruePM","2013-10-04 18:00:00","Roosevelt","39"
"542","f","TruePM","2013-10-04 18:10:00","14th_HOV","45.5"
"542","f","TruePM","2013-10-04 18:10:00","14th_Main","29.125"
"542","f","TruePM","2013-10-04 18:10:00","Chain","28"
