TMC_Crossing,Location,Type,Start_Time,End_Time,dur_mins,In_Out,Latitude,Longitude
14th_Main,I-395 north,Traffic Congestion,8/1/2014 7:28,8/1/2014 9:11,103,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,8/21/2014 14:20,8/21/2014 16:43,143,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,8/21/2014 7:18,8/21/2014 9:07,109,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,8/20/2014 18:00,8/20/2014 19:06,66,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,9/25/2014 15:47,9/25/2014 16:28,41,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,8/1/2014 18:29,8/1/2014 19:14,45,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,9/25/2014 17:30,9/25/2014 19:14,104,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,8/20/2014 6:46,8/20/2014 9:10,144,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,8/2/2014 12:28,8/2/2014 12:57,29,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,9/19/2014 7:36,9/19/2014 9:40,124,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,8/19/2014 17:57,8/19/2014 18:58,61,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,8/3/2014 12:28,8/3/2014 13:45,77,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,8/19/2014 7:31,8/19/2014 9:11,100,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,7/5/2014 14:44,7/5/2014 17:27,163,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,8/4/2014 8:37,8/4/2014 8:49,12,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,8/18/2014 17:28,8/18/2014 18:44,76,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,8/18/2014 7:41,8/18/2014 9:15,94,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,9/26/2014 15:16,9/26/2014 19:34,258,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,8/5/2014 6:53,8/5/2014 10:16,203,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,7/4/2014 19:57,7/4/2014 23:05,188,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,8/5/2014 15:44,8/5/2014 19:31,227,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,7/4/2014 14:43,7/4/2014 17:10,147,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,7/4/2014 11:45,7/4/2014 14:08,143,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,8/6/2014 6:18,8/6/2014 9:20,182,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,8/15/2014 19:57,8/15/2014 20:49,52,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,8/15/2014 16:34,8/15/2014 19:56,202,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,8/6/2014 15:54,8/6/2014 17:43,109,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,8/7/2014 6:46,8/7/2014 9:09,143,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,8/7/2014 11:31,8/7/2014 13:55,144,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,7/3/2014 14:49,7/3/2014 16:38,109,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,9/27/2014 13:46,9/27/2014 16:30,164,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,8/28/2014 6:44,8/28/2014 9:01,137,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,8/14/2014 7:13,,0,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,8/7/2014 16:15,8/7/2014 19:23,188,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,9/28/2014 12:43,9/28/2014 14:26,103,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,8/13/2014 7:32,8/13/2014 9:31,119,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,7/2/2014 17:34,7/2/2014 19:04,90,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,8/8/2014 15:19,8/8/2014 16:03,44,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,7/9/2014 16:00,7/9/2014 17:55,115,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,9/29/2014 7:25,9/29/2014 9:26,121,IN,38.873123,-77.043175
